Traffic,Threat,URL Filtering,Data Filtering,HIP Match,GlobalProtect,IP-Tag,User-ID,Decryption,Tunnel Inspection,SCTP,Authentication,Config,System,Correlated Events,GTP
dst_model,src_host,src_host,src_host,,,,,dst_osversion,,,,,,,subcategory_of_app
dst_vendor,src_mac,src_mac,src_mac,,,,,dst_host,,,,,,,category_of_app
dst_osfamily,dst_category,dst_category,dst_category,,,,,dst_mac,,,,,,,technology_of_app
dst_osversion,dst_profile,dst_profile,dst_profile,,,,,seqno,,,,,,,risk_of_app
dst_host,dst_model,dst_model,dst_model,,,,,actionflags,,,,,,,characteristic_of_app
dst_mac,dst_vendor,dst_vendor,dst_vendor,,,,,dg_hier_level_1,,,,,,,container_of_app
container_id,dst_osfamily,dst_osfamily,dst_osfamily,,,,,dg_hier_level_2,,,,,,,is_saas_of_app
pod_namespace,dst_osversion,dst_osversion,dst_osversion,,,,,dg_hier_level_3,,,,,,,sanctioned_state_of_app
pod_name,dst_host,dst_host,dst_host,,,,,dg_hier_level_4,,,,,,,
src_edl,dst_mac,dst_mac,dst_mac,,,,,vsys_name,,,,,,,
dst_edl,container_id,container_id,container_id,,,,,device_name,,,,,,,
hostid,pod_namespace,pod_namespace,pod_namespace,,,,,vsys_id,,,,,,,
serial,pod_name,pod_name,pod_name,,,,,subcategory_of_app,,,,,,,
src_dag,src_edl,src_edl,src_edl,,,,,category_of_app,,,,,,,
dst_dag,dst_edl,dst_edl,dst_edl,,,,,technology_of_app,,,,,,,
session_owner,hostid,hostid,hostid,,,,,risk_of_app,,,,,,,
high_res_timestamp,serial,serial,serial,,,,,characteristic_of_app,,,,,,,
nssai_sst,domain_edl,domain_edl,domain_edl,,,,,container_of_app,,,,,,,
nssai_sd,src_dag,src_dag,src_dag,,,,,is_saas_of_app,,,,,,,
subcategory_of_app,dst_dag,dst_dag,dst_dag,,,,,sanctioned_state_of_app,,,,,,,
category_of_app,partial_hash,partial_hash,partial_hash,,,,,cluster_name,,,,,,,
technology_of_app,high_res,high_res,high_res,,,,,,,,,,,,
risk_of_app,reason,reason,reason,,,,,,,,,,,,
characteristic_of_app,justification,justification,justification,,,,,,,,,,,,
container_of_app,nssai_sst,nssai_sst,nssai_sst,,,,,,,,,,,,
tunneled_app,subcategory_of_app,subcategory_of_app,subcategory_of_app,,,,,,,,,,,,
is_saas_of_app,category_of_app,category_of_app,category_of_app,,,,,,,,,,,,
sanctioned_state_of_app,technology_of_app,technology_of_app,technology_of_app,,,,,,,,,,,,
offloaded,risk_of_app,risk_of_app,risk_of_app,,,,,,,,,,,,
flow_type,characteristic_of_app,characteristic_of_app,characteristic_of_app,,,,,,,,,,,,
cluster_name,container_of_app,container_of_app,container_of_app,,,,,,,,,,,,
ai_traffic,tunneled_app,tunneled_app,tunneled_app,,,,,,,,,,,,
ai_fwd_error,is_saas_of_app,is_saas_of_app,is_saas_of_app,,,,,,,,,,,,
