Log Field Name,Data Type,Length,Message ID,Message Description,Message Meaning,Type,Category,Severity,Version
vd,string,32,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
vrf,uint8,3,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
action,string,16,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
app,string,96,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
appcat,string,64,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
applist,string,64,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
authserver,string,32,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
date,string,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
devid,string,16,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
direction,string,8,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
dstintf,string,64,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
dstintfrole,string,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
dstip,ip,39,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
dstport,uint16,5,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
eventtime,uint64,20,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
eventtype,string,32,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
fctuid,string,32,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
group,string,64,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
level,string,11,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
logid,string,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
policyid,uint32,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
profile,string,36,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
profiletype,string,36,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
proto,uint8,3,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
service,string,80,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
sessionid,uint32,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
srcdomain,string,255,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
srcintf,string,64,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
srcintfrole,string,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
srcip,ip,39,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
srcport,uint16,5,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
subtype,string,20,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
time,string,8,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
type,string,16,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
tz,string,5,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
unauthuser,string,66,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
unauthusersource,string,66,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
user,string,256,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
vd,string,32,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
vrf,uint8,3,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,SIGNATURE,Information,6.2.2
action,string,16,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
app,string,96,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
appcat,string,64,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
applist,string,64,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
authserver,string,32,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
date,string,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
devid,string,16,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
direction,string,8,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
dstintf,string,64,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
dstintfrole,string,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
dstip,ip,39,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
dstport,uint16,5,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
eventtime,uint64,20,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
eventtype,string,32,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
fctuid,string,32,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
group,string,64,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
level,string,11,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
logid,string,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
policyid,uint32,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
profile,string,36,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
profiletype,string,36,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
proto,uint8,3,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
service,string,80,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
sessionid,uint32,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
srcdomain,string,255,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
srcintf,string,64,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
srcintfrole,string,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
srcip,ip,39,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
srcport,uint16,5,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
subtype,string,20,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
time,string,8,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
type,string,16,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,SIGNATURE,Information,6.2.2
